id;Исходное наименование должности
129;  Дефектоскопист 
130;"Газорезчик ООО ""СтройМонтаж"""
131;Мастер строительных и монтажных работ 2 категории
132;Электромонтажнк по силовым сетям
133;Лаборант строительной лаборатории
134;изолировщик на гидроизоляции
135;Слесарь-реомнтник
136;Маркетолог
137;Бульдоззерист
138;Такелажник 6 разряда
139;Машинист крана башенного 5 разряда
140;ТАКЕЛАЖНИК 1 КАТЕГОРИИ
141;"Машинист буровой установки АО ""МостСтрой"""
142;Машинист башенного крана
143;Дефектоскопист
144;Каменщик (вахта)
145;Дооржный рабочий
146;АРМАТУРЩИК
147;Диспетче автотранспорта
148;монтажник по монтажу стальных и железобетонных конструкций (совм.)
149;  Стропальщик 
150;Газорезик 5 разряда
151;"Сварщик арматруных сеток и каркасов ООО ""СтройМонтаж"""
152;Монтажник электрических подъемников
153;Машинист компрессорных установок
154;Слесарь-ремонтник
155;Такеажник (совм.)
156;Разнорабочий
157;"Бурильщик мех. бурения ООО ""СтройМонтаж"""
158;Токарь (совм.)
159;ШОФЕР САМОСВАЛА 3 РАЗРЯДА
160;Маляр строительный
161;Слесарь-ремонтник (осн.)
162;БУЛЬДОЗЕРИСТ (ОСН.)
163;Монтажник технолог. трубопроводов 3 разряда
164;Системный администратор 2 категории
165;Маш. гусеничного крана 3 разряда
166;ОПЕРАТОР АВТОКРАНА
167;Электромонтажник по силовым сетям
168;Кровельщик по рулонным кровлям (совм.)
169;Геодезист
170;Машинст башенного крана
171;"Газорезчик ООО ""СтройМонтаж"""
172;Бетонщик
173;Казначей
174;Монтажник санитарно-технических систем
175;Бурильщик мех. бурения 4 разряда
176;ШОФЕР САМОСВАЛА
177;КУРЬЕР 4 РАЗРЯДА
178;Бульдозерист 3 разряда
179;Лаборант строительной лаборатории 1 категории
180;Столяр строит. 4 разряда
181;Дорожынй рабочий 5 разряда
182;"столяр строит. ооо ""строймонтаж"""
183;инжнеер-геодезист
184;Облицовщик-плиточник
185;Инженер по качеству 3 разряда
186;Электрогазосварщик (вахта)
187;Маш. автогрейдера 6 разряда
188;ШТКУАТУР
189;Землекоп 1 категории
190;Облицовщик-плиточник
191;Менеджер по продажам
192;"Машинист крана башенного ООО ""СтройМонтаж"""
193;  Программист 1С 2 категории 
194;Тоокарь
195;Штукатур
196;ТОКАРЬ
197;ИНЖЕНЕР-ГЕОДЕЗИСТ
198;Дорожный рабочий
199;ДОРОЖНЫЙ РАБОЧИЙ
200;  Изоилровщик на термоизоляции 
201;Машинист бетононасоса 6 разряда
202;  Деектоскопист 
203;ИНЖЕНЕР ПО КАЧЕСТВУ 5 РАЗРЯДА
204;Монтажник сантех. систем
205;Инженер-геодезист
206;ВОДИТЕЛЬ АВТОМОБИЛЯ (ВАХТА)
207;Маш. автогрейдера
208;Стропальщик (вахта)
209;  Сварщик арматурных сеток и каркасов 
210;Водитель автомобиля
211;Сметичк
212;Слесарь по сборке металлоконструкций
213;Пдособный рабочий 3 разряда
214;Газорезчик
215;  ИНЖЕНЕР ПО ОХАНЕ ТРУДА 
216;Электромонтажник по силовым сетям 6 разряда
217;МАШИНИСТ БАШЕННОГО КРАНА
218;"Сварщик ЭГС ООО ""СтройМонтаж"""
219;Изолировщик на гидроизоляции
220;Маляр стротиельный 5 разряда
221;Сварщик ЭГС 5 разряда
222;  Машинист автогрейдера 4 разряда 
223;облицовщик-плиточник
224;КРОВЕЛЬЩИК ПО РУЛОННЫМ КРОВЛЯМ
225;Экономист планового отдела
226;"Машинист автогрейдера ООО ""СтройМонтаж"""
227;ЛАБОРАНТ СТРОИТЕЛЬНОЙ ЛАБОРАТОРИИ
228;Кровельщик по рулонным кровлям
229;Бурильщк руч. бурения (вахта)
230;Машинист бетононасоса (вахта)
231;Машинист крана автомобильного 3 разряда
232;Машинист бетононасоса (вахта)
233;ТАКЕЛАЖНИК 5 РАЗРЯДА
234;Монтажник по монтажу стальных и железобетонных конструкций
235;слесарь-ремонтник 1 категории
236;Инженер по качеству 2 категории
237;  Пораб 1 категории 
238;Инженер по охране труда
239;Машинист автокрана
240;Изолировщик на термоизоляици 1 категории
241;Фельдшер здравпункта
242;  Инженер по качеству 
243;Прораб (производитель работ) (совм.)
244;Монтажник по монтажу стальных и железобетонных констр. 2 категории
245;Маш. крана автомобильного
246;Машинит компрессорных установок
247;лабоант строительной лаборатории 2 категории
248;токарь
249;  ЭЛ.ГАЗОСВАРЩИК 
250;Водитель автомобиля
251;Машинист гусеничного крана
252;  ВОДИТЕЛЬ САМОСВАЛА 
253;Кровельщик по рулонным кровлям
254;Штукаутр
255;Дефектоскопист
256;Кладощвик центрального склада
257;"аратурщик ао ""мостстрой"""
258;ОБИЛЦОВЩИК-ПЛИТОЧНИК
259;СЛЕСАРЬ-РЕМОНТТНИК
260;  дорожный рабоччий 4 разряда 
261;  Монтажник электрических подъемников 
262;"крановщик автокрана ао ""мостстрой"""
263;"Электромонтажник по силовым сетям АО ""МостСтрой"""
264;Подсобный рабочий
265;Специалист по сметам 4 разряда
266;Машинист бетононасоса
267;Стропальищк 1 категории
268;Крановщик башенного крана
269;электрогазсоварщик 6 разряда
270;Штукатур
271;кровельщик по стальным кровлям
272;Газроезчик
273;Облицовщик-плиточник
274;"Каменщик АО ""МостСтрой"""
275;Монтажник по монтажу стальных и железобетонных констр.
276;психолог
277;Юрисконсульт
278;"сварщик арматурных сеток и каркасов ооо ""строймонтаж"""
279;  Прораб (производитель работ) 
280;Слесарь-ремонник (совм.)
281;Машинист автокрана
282;Изолировщик на термоизоляции
283;Каменщик (осн.)
284;ТАКЕЛАЖНИК
285;Монтажник технологических трубопровоов (совм.)
286;ЭЛЕКТРОГАЗОВАРЩИК (СОВМ.)
287;Водтиель автомобиля
288;Изолировщик на гидроизоляции
289;Механик строит. машин
290;Облицовщик-плиточник
291;Масетр строит. и монтажных работ 5 разряда
292;Токарь 6 разряда
293;Фрзееровщик 6 разряда
294;СТРОПАЛЬЩИК
295;МАШ. ЭКСКААТОРА
296;Уборщик служебных помещений
297;Монтажник санитарно-технических систем
298;Кровельищк по рулонным кровлям
299;ИНЖЕНЕ РПО ОХРАНЕ ТРУДА (ОСН.)
300;Плотник
