id;исходное наименование;код;наименование по классификатору;уверенность;требует проверки
116;Бурильщик руч. бурения;КЛС-001;Бурильщик ручного бурения;1.00;нет
117;Повар столовой;НЕТ СООТВЕТСТВИЯ;;0.50;нет
118;  Водитель самосвала ;КЛС-036;Водитель самосвала;1.00;нет
119;Эл.газосврщик 2 категории;НЕТ СООТВЕТСТВИЯ;;0.23;да
120;Кровельщик по стальным кровлям;КЛС-012;Кровельщик по стальным кровлям;1.00;нет
121;Арматурщик (вахта);КЛС-003;Арматурщик;1.00;нет
122;Дефектоскопист;КЛС-055;Дефектоскопист;1.00;нет
123;Произвдоитель работ;КЛС-046;Прораб;1.00;нет
124;Сварщик арматрных сеток и каркасов;КЛС-021;Сварщик арматурных сеток и каркасов;0.99;нет
125;АРМАТУРЩИК;КЛС-003;Арматурщик;1.00;нет
126;Делопроизводитель;НЕТ СООТВЕТСТВИЯ;;0.39;да
127;"операттор экскаватора ооо ""строймонтаж""";КЛС-028;Машинист экскаватора;1.00;нет
128;Инженер по каачеству 6 разряда;КЛС-044;Инженер по качеству;0.97;нет
129;  Дефектоскопист ;КЛС-055;Дефектоскопист;1.00;нет
130;"Газорезчик ООО ""СтройМонтаж""";КЛС-022;Газорезчик;1.00;нет
131;Мастер строительных и монтажных работ 2 категории;КЛС-047;Мастер строительных и монтажных работ;1.00;нет
132;Электромонтажнк по силовым сетям;КЛС-019;Электромонтажник по силовым сетям;0.98;нет
133;Лаборант строительной лаборатории;КЛС-054;Лаборант строительной лаборатории;1.00;нет
134;изолировщик на гидроизоляции;КЛС-013;Изолировщик на гидроизоляции;1.00;нет
135;Слесарь-реомнтник;КЛС-050;Слесарь-ремонтник;0.94;нет
136;Маркетолог;НЕТ СООТВЕТСТВИЯ;;0.57;нет
137;Бульдоззерист;КЛС-029;Машинист бульдозера;1.00;нет
138;Такелажник 6 разряда;КЛС-024;Такелажник;1.00;нет
139;Машинист крана башенного 5 разряда;КЛС-026;Машинист башенного крана;1.00;нет
140;ТАКЕЛАЖНИК 1 КАТЕГОРИИ;КЛС-024;Такелажник;1.00;нет
141;"Машинист буровой установки АО ""МостСтрой""";КЛС-032;Машинист буровой установки;1.00;нет
142;Машинист башенного крана;КЛС-026;Машинист башенного крана;1.00;нет
143;Дефектоскопист;КЛС-055;Дефектоскопист;1.00;нет
144;Каменщик (вахта);КЛС-005;Каменщик;1.00;нет
145;Дооржный рабочий;КЛС-037;Дорожный рабочий;0.94;нет
146;АРМАТУРЩИК;КЛС-003;Арматурщик;1.00;нет
147;Диспетче автотранспорта;НЕТ СООТВЕТСТВИЯ;;0.50;нет
148;монтажник по монтажу стальных и железобетонных конструкций (совм.);КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций;1.00;нет
149;  Стропальщик ;КЛС-023;Стропальщик;1.00;нет
150;Газорезик 5 разряда;КЛС-022;Газорезчик;0.95;нет
151;"Сварщик арматруных сеток и каркасов ООО ""СтройМонтаж""";КЛС-021;Сварщик арматурных сеток и каркасов;0.97;нет
152;Монтажник электрических подъемников;КЛС-018;Монтажник электрических подъемников;1.00;нет
153;Машинист компрессорных установок;КЛС-034;Машинист компрессорных установок;1.00;нет
154;Слесарь-ремонтник;КЛС-050;Слесарь-ремонтник;1.00;нет
155;Такеажник (совм.);КЛС-024;Такелажник;0.95;нет
156;Разнорабочий;НЕТ СООТВЕТСТВИЯ;;0.36;да
157;"Бурильщик мех. бурения ООО ""СтройМонтаж""";КЛС-002;Бурильщик механического бурения;1.00;нет
158;Токарь (совм.);КЛС-052;Токарь;1.00;нет
159;ШОФЕР САМОСВАЛА 3 РАЗРЯДА;КЛС-036;Водитель самосвала;1.00;нет
160;Маляр строительный;КЛС-009;Маляр строительный;1.00;нет
161;Слесарь-ремонтник (осн.);КЛС-050;Слесарь-ремонтник;1.00;нет
162;БУЛЬДОЗЕРИСТ (ОСН.);КЛС-029;Машинист бульдозера;1.00;нет
163;Монтажник технолог. трубопроводов 3 разряда;КЛС-016;Монтажник технологических трубопроводов;1.00;нет
164;Системный администратор 2 категории;НЕТ СООТВЕТСТВИЯ;;0.43;нет
165;Маш. гусеничного крана 3 разряда;КЛС-027;Машинист гусеничного крана;1.00;нет
166;ОПЕРАТОР АВТОКРАНА;КЛС-025;Машинист крана автомобильного;1.00;нет
167;Электромонтажник по силовым сетям;КЛС-019;Электромонтажник по силовым сетям;1.00;нет
168;Кровельщик по рулонным кровлям (совм.);КЛС-011;Кровельщик по рулонным кровлям;1.00;нет
169;Геодезист;КЛС-040;Геодезист;1.00;нет
170;Машинст башенного крана;КЛС-026;Машинист башенного крана;1.00;нет
171;"Газорезчик ООО ""СтройМонтаж""";КЛС-022;Газорезчик;1.00;нет
172;Бетонщик;КЛС-004;Бетонщик;1.00;нет
173;Казначей;НЕТ СООТВЕТСТВИЯ;;0.62;нет
174;Монтажник санитарно-технических систем;КЛС-017;Монтажник санитарно-технических систем;1.00;нет
175;Бурильщик мех. бурения 4 разряда;КЛС-002;Бурильщик механического бурения;1.00;нет
176;ШОФЕР САМОСВАЛА;КЛС-036;Водитель самосвала;1.00;нет
177;КУРЬЕР 4 РАЗРЯДА;НЕТ СООТВЕТСТВИЯ;;0.50;нет
178;Бульдозерист 3 разряда;КЛС-029;Машинист бульдозера;1.00;нет
179;Лаборант строительной лаборатории 1 категории;КЛС-054;Лаборант строительной лаборатории;1.00;нет
180;Столяр строит. 4 разряда;КЛС-007;Столяр строительный;0.95;нет
181;Дорожынй рабочий 5 разряда;КЛС-037;Дорожный рабочий;0.94;нет
182;"столяр строит. ооо ""строймонтаж""";КЛС-007;Столяр строительный;0.95;нет
183;инжнеер-геодезист;КЛС-041;Инженер-геодезист;0.94;нет
184;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.00;нет
185;Инженер по качеству 3 разряда;КЛС-044;Инженер по качеству;1.00;нет
186;Электрогазосварщик (вахта);КЛС-020;Электрогазосварщик;1.00;нет
187;Маш. автогрейдера 6 разряда;КЛС-030;Машинист автогрейдера;1.00;нет
188;ШТКУАТУР;КЛС-008;Штукатур;0.88;да
189;Землекоп 1 категории;КЛС-038;Землекоп;1.00;нет
190;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.00;нет
191;Менеджер по продажам;НЕТ СООТВЕТСТВИЯ;;0.49;нет
192;"Машинист крана башенного ООО ""СтройМонтаж""";КЛС-026;Машинист башенного крана;1.00;нет
193;  Программист 1С 2 категории ;НЕТ СООТВЕТСТВИЯ;;0.50;нет
194;Тоокарь;КЛС-052;Токарь;0.92;нет
195;Штукатур;КЛС-008;Штукатур;1.00;нет
196;ТОКАРЬ;КЛС-052;Токарь;1.00;нет
197;ИНЖЕНЕР-ГЕОДЕЗИСТ;КЛС-041;Инженер-геодезист;1.00;нет
198;Дорожный рабочий;КЛС-037;Дорожный рабочий;1.00;нет
199;ДОРОЖНЫЙ РАБОЧИЙ;КЛС-037;Дорожный рабочий;1.00;нет
200;  Изоилровщик на термоизоляции ;КЛС-014;Изолировщик на термоизоляции;0.96;нет
201;Машинист бетононасоса 6 разряда;КЛС-033;Машинист бетононасоса;1.00;нет
202;  Деектоскопист ;КЛС-055;Дефектоскопист;0.96;нет
203;ИНЖЕНЕР ПО КАЧЕСТВУ 5 РАЗРЯДА;КЛС-044;Инженер по качеству;1.00;нет
204;Монтажник сантех. систем;КЛС-017;Монтажник санитарно-технических систем;1.00;нет
205;Инженер-геодезист;КЛС-041;Инженер-геодезист;1.00;нет
206;ВОДИТЕЛЬ АВТОМОБИЛЯ (ВАХТА);КЛС-035;Водитель автомобиля;1.00;нет
207;Маш. автогрейдера;КЛС-030;Машинист автогрейдера;1.00;нет
208;Стропальщик (вахта);КЛС-023;Стропальщик;1.00;нет
209;  Сварщик арматурных сеток и каркасов ;КЛС-021;Сварщик арматурных сеток и каркасов;1.00;нет
210;Водитель автомобиля;КЛС-035;Водитель автомобиля;1.00;нет
211;Сметичк;КЛС-045;Сметчик;0.86;да
212;Слесарь по сборке металлоконструкций;КЛС-051;Слесарь по сборке металлоконструкций;1.00;нет
213;Пдособный рабочий 3 разряда;КЛС-039;Подсобный рабочий;0.94;нет
214;Газорезчик;КЛС-022;Газорезчик;1.00;нет
215;  ИНЖЕНЕР ПО ОХАНЕ ТРУДА ;КЛС-042;Инженер по охране труда;0.98;нет
216;Электромонтажник по силовым сетям 6 разряда;КЛС-019;Электромонтажник по силовым сетям;1.00;нет
217;МАШИНИСТ БАШЕННОГО КРАНА;КЛС-026;Машинист башенного крана;1.00;нет
218;"Сварщик ЭГС ООО ""СтройМонтаж""";КЛС-020;Электрогазосварщик;1.00;нет
219;Изолировщик на гидроизоляции;КЛС-013;Изолировщик на гидроизоляции;1.00;нет
220;Маляр стротиельный 5 разряда;КЛС-009;Маляр строительный;0.94;нет
221;Сварщик ЭГС 5 разряда;КЛС-020;Электрогазосварщик;1.00;нет
222;  Машинист автогрейдера 4 разряда ;КЛС-030;Машинист автогрейдера;1.00;нет
223;облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.00;нет
224;КРОВЕЛЬЩИК ПО РУЛОННЫМ КРОВЛЯМ;КЛС-011;Кровельщик по рулонным кровлям;1.00;нет
225;Экономист планового отдела;НЕТ СООТВЕТСТВИЯ;;0.52;нет
226;"Машинист автогрейдера ООО ""СтройМонтаж""";КЛС-030;Машинист автогрейдера;1.00;нет
227;ЛАБОРАНТ СТРОИТЕЛЬНОЙ ЛАБОРАТОРИИ;КЛС-054;Лаборант строительной лаборатории;1.00;нет
228;Кровельщик по рулонным кровлям;КЛС-011;Кровельщик по рулонным кровлям;1.00;нет
229;Бурильщк руч. бурения (вахта);КЛС-001;Бурильщик ручного бурения;0.98;нет
230;Машинист бетононасоса (вахта);КЛС-033;Машинист бетононасоса;1.00;нет
231;Машинист крана автомобильного 3 разряда;КЛС-025;Машинист крана автомобильного;1.00;нет
232;Машинист бетононасоса (вахта);КЛС-033;Машинист бетононасоса;1.00;нет
233;ТАКЕЛАЖНИК 5 РАЗРЯДА;КЛС-024;Такелажник;1.00;нет
234;Монтажник по монтажу стальных и железобетонных конструкций;КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций;1.00;нет
235;слесарь-ремонтник 1 категории;КЛС-050;Слесарь-ремонтник;1.00;нет
236;Инженер по качеству 2 категории;КЛС-044;Инженер по качеству;1.00;нет
237;  Пораб 1 категории ;КЛС-046;Прораб;0.91;нет
238;Инженер по охране труда;КЛС-042;Инженер по охране труда;1.00;нет
239;Машинист автокрана;КЛС-025;Машинист крана автомобильного;1.00;нет
240;Изолировщик на термоизоляици 1 категории;КЛС-014;Изолировщик на термоизоляции;0.96;нет
241;Фельдшер здравпункта;НЕТ СООТВЕТСТВИЯ;;0.64;нет
242;  Инженер по качеству ;КЛС-044;Инженер по качеству;1.00;нет
243;Прораб (производитель работ) (совм.);КЛС-046;Прораб;1.00;нет
244;Монтажник по монтажу стальных и железобетонных констр. 2 категории;КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций;1.00;нет
245;Маш. крана автомобильного;КЛС-025;Машинист крана автомобильного;1.00;нет
246;Машинит компрессорных установок;КЛС-034;Машинист компрессорных установок;1.00;нет
247;лабоант строительной лаборатории 2 категории;КЛС-054;Лаборант строительной лаборатории;0.98;нет
248;токарь;КЛС-052;Токарь;1.00;нет
249;  ЭЛ.ГАЗОСВАРЩИК ;КЛС-020;Электрогазосварщик;0.81;да
250;Водитель автомобиля;КЛС-035;Водитель автомобиля;1.00;нет
251;Машинист гусеничного крана;КЛС-027;Машинист гусеничного крана;1.00;нет
252;  ВОДИТЕЛЬ САМОСВАЛА ;КЛС-036;Водитель самосвала;1.00;нет
253;Кровельщик по рулонным кровлям;КЛС-011;Кровельщик по рулонным кровлям;1.00;нет
254;Штукаутр;КЛС-008;Штукатур;0.88;да
255;Дефектоскопист;КЛС-055;Дефектоскопист;1.00;нет
256;Кладощвик центрального склада;НЕТ СООТВЕТСТВИЯ;;0.53;нет
257;"аратурщик ао ""мостстрой""";КЛС-003;Арматурщик;0.95;нет
258;ОБИЛЦОВЩИК-ПЛИТОЧНИК;КЛС-010;Облицовщик-плиточник;0.95;нет
259;СЛЕСАРЬ-РЕМОНТТНИК;КЛС-050;Слесарь-ремонтник;0.97;нет
260;  дорожный рабоччий 4 разряда ;КЛС-037;Дорожный рабочий;0.97;нет
261;  Монтажник электрических подъемников ;КЛС-018;Монтажник электрических подъемников;1.00;нет
262;"крановщик автокрана ао ""мостстрой""";КЛС-025;Машинист крана автомобильного;1.00;нет
263;"Электромонтажник по силовым сетям АО ""МостСтрой""";КЛС-019;Электромонтажник по силовым сетям;1.00;нет
264;Подсобный рабочий;КЛС-039;Подсобный рабочий;1.00;нет
265;Специалист по сметам 4 разряда;НЕТ СООТВЕТСТВИЯ;;0.55;нет
266;Машинист бетононасоса;КЛС-033;Машинист бетононасоса;1.00;нет
267;Стропальищк 1 категории;КЛС-023;Стропальщик;0.91;нет
268;Крановщик башенного крана;КЛС-026;Машинист башенного крана;1.00;нет
269;электрогазсоварщик 6 разряда;КЛС-020;Электрогазосварщик;0.94;нет
270;Штукатур;КЛС-008;Штукатур;1.00;нет
271;кровельщик по стальным кровлям;КЛС-012;Кровельщик по стальным кровлям;1.00;нет
272;Газроезчик;КЛС-022;Газорезчик;0.90;нет
273;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.00;нет
274;"Каменщик АО ""МостСтрой""";КЛС-005;Каменщик;1.00;нет
275;Монтажник по монтажу стальных и железобетонных констр.;КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций;1.00;нет
276;психолог;НЕТ СООТВЕТСТВИЯ;;0.60;нет
277;Юрисконсульт;НЕТ СООТВЕТСТВИЯ;;0.62;нет
278;"сварщик арматурных сеток и каркасов ооо ""строймонтаж""";КЛС-021;Сварщик арматурных сеток и каркасов;1.00;нет
279;  Прораб (производитель работ) ;КЛС-046;Прораб;1.00;нет
280;Слесарь-ремонник (совм.);КЛС-050;Слесарь-ремонтник;0.97;нет
281;Машинист автокрана;КЛС-025;Машинист крана автомобильного;1.00;нет
282;Изолировщик на термоизоляции;КЛС-014;Изолировщик на термоизоляции;1.00;нет
283;Каменщик (осн.);КЛС-005;Каменщик;1.00;нет
284;ТАКЕЛАЖНИК;КЛС-024;Такелажник;1.00;нет
285;Монтажник технологических трубопровоов (совм.);КЛС-016;Монтажник технологических трубопроводов;0.99;нет
286;ЭЛЕКТРОГАЗОВАРЩИК (СОВМ.);КЛС-020;Электрогазосварщик;0.97;нет
287;Водтиель автомобиля;КЛС-035;Водитель автомобиля;1.00;нет
288;Изолировщик на гидроизоляции;КЛС-013;Изолировщик на гидроизоляции;1.00;нет
289;Механик строит. машин;КЛС-049;Механик строительных машин;0.92;нет
290;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.00;нет
291;Масетр строит. и монтажных работ 5 разряда;КЛС-047;Мастер строительных и монтажных работ;0.92;нет
292;Токарь 6 разряда;КЛС-052;Токарь;1.00;нет
293;Фрзееровщик 6 разряда;КЛС-053;Фрезеровщик;0.91;нет
294;СТРОПАЛЬЩИК;КЛС-023;Стропальщик;1.00;нет
295;МАШ. ЭКСКААТОРА;КЛС-028;Машинист экскаватора;0.97;нет
296;Уборщик служебных помещений;НЕТ СООТВЕТСТВИЯ;;0.55;нет
297;Монтажник санитарно-технических систем;КЛС-017;Монтажник санитарно-технических систем;1.00;нет
298;Кровельищк по рулонным кровлям;КЛС-011;Кровельщик по рулонным кровлям;0.97;нет
299;ИНЖЕНЕ РПО ОХРАНЕ ТРУДА (ОСН.);КЛС-042;Инженер по охране труда;0.96;нет
300;Плотник;КЛС-006;Плотник;1.00;нет
